epoch,elo,error
24,-259.9,25.5
49,-227.5,23.7
74,-196.7,21.1
99,-176.4,21.2
124,-173.7,21.9
149,-137.3,21.3
174,-148.5,22.6
199,-139.3,18.6
224,-144.7,19.2
249,-131.1,23.1
274,-138.5,17.7
299,-108.8,21.1
324,-108.4,20.9
349,-109.2,20.5
374,-117.1,20.3
399,-105.3,16.6
424,-98.3,17.6
449,-99.8,18.8
474,-80.4,18.5
499,-79.3,19.4
524,-78.5,20.0
549,-81.2,19.9
574,-79.3,20.9
599,-66.2,18.0
624,-70.0,20.2
649,-53.0,19.6
674,-78.9,17.4
699,-74.4,19.2
724,-61.1,20.0
749,-67.4,18.6
774,-61.4,16.6
799,-68.7,12.6
